datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_net_mw,na_net_mw,ironair_net_mw,bath_soc_mwh,na_soc_mwh,ironair_soc_mwh,total_storage_soc_pct,curtailment_mwh,unserved_mwh
2046-02-17 07:00:00,20309.868738399575,3695.3,1952.8000000000002,544.468568443377,23.645200358812836,568.1137688021898,0.0,3000.0,0.0,11093.654969597388,2256.801502867813,71884.26375415936,-8.602364687249064e-08,1,-0.0,0.0
2046-02-17 08:00:00,20264.282028506794,3695.3,1552.3400000000004,12228.769105892612,531.0714197463581,12759.84052563897,0.0,2256.80150286782,0.0,0.0,-7.275957614183426e-12,66640.31154489284,-8.602364687249064e-08,1,-0.0,0.0
2046-02-17 09:00:00,20193.96210367218,3695.3,817.0930000000001,37180.82609500825,1614.6902382925623,38795.51633330081,0.0,-3000.0,-7409.375608091883,-12704.571621536743,2399.9999999999927,68805.73494371821,-8.602364687249064e-08,1,-0.0,0.0
2046-02-17 10:00:00,20169.22888873035,3695.3,484.0330000000001,60815.31955862076,2641.089861183352,63456.40941980411,0.0,-3000.0,0.0,-44466.513531073746,4799.999999999993,63561.7827344517,35573.21082477298,2,-0.0,0.0
2046-02-17 11:00:00,20129.946723822744,3695.3,368.42900000000003,80472.52938542531,3494.7638688103984,83967.29325423572,0.0,-3000.0,-4609.5959860376315,-60291.47954437533,7199.999999999993,62927.42651122282,83806.39446027324,2,-0.0,0.0
2046-02-17 12:00:00,20163.894273742902,3695.3,189.952,77878.29957753394,3382.1015644284043,81260.40114196234,0.0,-3000.0,-24527.921858186863,-37453.83701003258,9599.999999999993,82211.39616014317,108555.65984876908,3,-0.0,0.0
2046-02-17 13:00:00,20210.4509136334,3695.3,34.027100000000004,80647.19891618418,3502.349423405737,84149.54833958992,0.0,-3000.0,-1145.5664182727705,-63522.858107683736,11999.999999999993,78113.01036914942,159373.94633491608,4,-0.0,0.0
2046-02-17 14:00:00,20218.21035361515,3695.3,67.68160000000002,84572.25082003746,3672.8067171126786,88245.05753715013,0.0,-3000.0,-52439.52209266505,-16350.30669086994,14399.999999999993,125308.58025254795,163019.68140424928,5,-0.0,0.0
2046-02-17 15:00:00,20184.262803694997,3695.3,23.951400000000007,84203.47202503227,3656.791378484575,87860.26340351684,0.0,-3000.0,-52439.52209266505,-15955.729907156798,16799.999999999993,172504.1501359465,166270.83968986935,5,-0.0,0.0
2046-02-17 16:00:00,20140.61595379765,3695.3,146.78100000000003,70806.14649134337,3074.9718486226648,73881.11833996604,0.0,-3000.0,0.0,-54582.58338616839,19199.999999999993,167260.19792667998,208148.851454501,6,-0.0,0.0
2046-02-17 17:00:00,20206.086228643668,3695.3,245.247,5859.883237793655,254.48321770532007,6114.3664554989755,0.0,3000.0,0.0,7151.172773144695,16199.999999999993,162016.24571741346,200997.6786813563,6,-0.0,0.0
2046-02-17 18:00:00,20390.37292821023,3695.3,462.119,0.0,0.0,0.0,0.0,-3000.0,0.0,19232.95392821022,18599.999999999993,156772.29350814695,181764.7247531461,5,-0.0,0.0
2046-02-17 19:00:00,20426.745303124684,3695.3,249.50900000000004,0.0,0.0,0.0,0.0,0.0,0.0,16481.936303124676,18599.999999999993,151528.34129888043,165282.7884500214,5,-0.0,0.0
2046-02-17 20:00:00,20437.89949809845,3695.3,319.81600000000003,0.0,0.0,0.0,0.0,3000.0,0.0,13422.783498098448,15599.999999999993,146284.38908961392,151860.00495192298,5,-0.0,0.0
2046-02-17 21:00:00,20398.61733319084,3695.3,769.982,0.0,0.0,0.0,0.0,0.0,0.0,15933.335333190844,15599.999999999993,141040.4368803474,135926.66961873212,4,-0.0,0.0
2046-02-17 22:00:00,20325.872583361932,3695.3,1915.8500000000004,0.0,0.0,0.0,0.0,3000.0,0.0,11714.72258336193,12599.999999999993,135796.4846710809,124211.94703537019,4,-0.0,0.0
2046-02-17 23:00:00,20270.101608493103,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11459.481608493108,9599.999999999993,130552.53246181438,112752.46542687708,4,-0.0,0.0
2046-02-18 00:00:00,20247.30825354671,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11436.688253546716,6599.999999999993,125308.58025254786,101315.77717333037,3,-0.0,0.0
2046-02-18 01:00:00,20268.646713496528,3695.3,2115.32,0.0,0.0,0.0,0.0,-3000.0,0.0,17458.026713496525,8999.999999999993,120064.62804328135,74644.78418099639,3,-0.0,0.0
2046-02-18 02:00:00,20303.079228415543,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11492.459228415544,5999.999999999993,114820.67583401484,63152.32495258084,3,-0.0,0.0
2046-02-18 03:00:00,20318.598108379043,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11507.978108379044,2999.9999999999927,109576.72362474832,51644.3468442018,2,-0.0,0.0
